Macht	мощь, сила, могущество, власть
wachsen	расти, вырастать, смазывать, натирать
interessiert	заинтересованный
links	лево
Hochzeit	свадьба, время расцвета
Gericht	суд, блюдо
Weihnachten	рождество, Рождество Христово
entfernt	далёкий, дальний
Verbrechen	преступление
Ehemann	муж, супруг
leihen	одалживать
betrügen	обманывать, изменить
rechts	правый
Koffer	чемодан
lächerlich	смешной, забавный
Absicht	намерение, умысел
besorgt	озабоченный
regnen	дождь идти
kehren	поворачивать, повернуть
Neuigkeit	новость
üben	упражняться
Flughafen	аэродром, аэропорт
Richter	судья, Книга Судей Израилевых
Zufall	случайность
Rechnung	счёт
verursachen	послужить причиной (чего-л.); вызывать, возбуждать (напр., спор, гнев)
stürzen	падать, сбрасывать, сталкивать, переворачивать
Kuss	поцелуй
merkwürdig	странный, необычайный; поразительный, удивительный, диковинный
Scherz	шутка, шалость
Brille	очки
bereuen	сожалеть
schmutzig	грязный, чумазый
einschlafen	засыпать
gemein	общий, простой, вульгарный, подлый
Freitag	пятница
Vorstellung	представление (кого-л. кому-л.); знакомство
ablehnen	отклонить, отказаться
Falle	ловушка
löschen	гасить, тушить, удалять
vernünftig	разумный, рассудительный, здравомыслящий, последовательный
empfehlen	рекомендовать, советовать, передать ( привет ), предлагать ( свой услуга )
Bär	медведь, мишка, медведица
Hof	двор, ферма, Хоф
peinlich	неловкий
Bürgermeister	бургомистр, мэр
versichern	страховать, страховаться
schalten	включать
Träne	слеза
empfangen	получать, принимать, приветствовать
mitteilen	сообщить
Treppe	лестница, крыльцо
vertraut	близкий, интимный
Gewissen	совесть
Huhn	курица, курятина
kündigen	расторгать, отменять
Sünde	грех
Gewehr	винтовка, ружьё
anfassen	касаться, прикасаться, трогать
vorwärts	вперёд
Hintern	зад, задница
rühren	шевелить, замешивать, трогать, растрогать
anhören	слушать, послушать, прослушать, выслушать
heim	дом
scheiden	разводиться, удаляться
ausdrücken	выражать
verwirrt	растерянный
herstellen	производить, изготавливать, устанавливать
neugierig	любопытный
Pfund	фунт
beliebt	популярный
regeln	регулировать (тж. тех.); управлять; регламентировать
begraben	хоронить
schwul	голубой, гомосексуальный, гейский
Akte	дело
zeichnen	рисовать, чертить, отмечать, отметить
befürchten	бояться, опасаться
räumen	очищать, убирать
vorbeikommen	заглянуть
hervorragend	выдающийся, замечательный
Braut	невеста
Stoff	вещество, материал, материя, ткань
bedrohen	грозить, угрожать
aufregend	волнующий, захватывающий
Lärm	шум
Gedächtnis	память
Mitternacht	полночь
Knopf	пуговица, клавиша, кнопка
Knast	тюрьма, сук, сучок
lehnen	наклонять, прислонять
aussprechen	произносить, выговаривать, выговориться, высказаться
erfreut	обрадованный, довольный
verzweifelt	отчаявшийся; в отчаянии
bedienen	прислуживать, управлять
verschieben	сдвигать / сдвинуть, передвигать / передвинуть, переместить, отложить / откладывать
auszeichnen	отмечать; делать отметки (напр., на деревьях); выделять (что-л. каким-л. шрифтом)
Teller	тарелка
ordentlich	аккуратный, порядочный
zerbrechen	ломаться, ломать
Sitzung	заседание
Kilo	кило
Beerdigung	похороны
Sendung	трансляция, эфир, передача, посылка
Magen	желудок
festnehmen	арестовывать
